"ADDRESS" "GEOADDRESS" "MUNICIPALITY" "TYPE" "BALCONY" "CLOSING_PRICE" "INCREASE_ABS" "INCREASE_REL" "PRICE_M2" "ROOMS" "AREA" "DRIFT" "SOLD" "LONGITUDE" "LATITUDE" "ID"
"Nynäsvägen 66" "nynäsvägen 66, 136 40 handen, sweden" "Haninge" "Apartment" "Yes" 2150000 155000 0.0776942355889725 22800 3 87.5 9240 "2023-10-01" 18.1379172 59.1695199 24
"Sätunavägen 14C" "sätunavägen 14c, 195 41 märsta, sweden" "Sigtuna" "Apartment" "Yes" 1340000 0 0 22333.3333333333 2 60 6300 "2023-10-01" 17.8535866 59.6291688 25
"Birger Jarlsgatan 107A" "birger jarlsgatan 107a, 113 56 stockholm, sweden" "Stockholm" "Apartment" "Yes" 1.1e+07 -750000 -0.0638297872340425 104910.714285714 4 112 6900 "2023-10-01" 18.0591161 59.348335 26
"Borensvägen 54" "borensvägen 54, 120 52 årsta, sweden" "Stockholm" "Apartment" "Yes" 2650000 150000 0.0600000000000001 59523.8095238095 2 42 2400 "2023-10-01" 18.0547559 59.2966986 27
"Härjedalsgatan 114, Vån 3+4" "härjedalsgatan 114, vån 3, 162 66 vällingby, sweden" "Stockholm" "Apartment" "Yes" 3320000 225000 0.0726978998384491 33641.3043478261 4 92 8796 "2023-09-30" 17.8741677 59.3669845 28
"Laxholmsbacken 66" "laxholmsbacken 66, 127 42 skärholmen, sweden" "Stockholm" "Terrace" "Yes" 3500000 5000 0.0014306151645207 28185.4838709677 5 124 40935 "2023-09-30" 17.8738608 59.2746391 29
"Snödroppsgränd 29" "snödroppsgränd 29, 165 74 hässelby, sweden" "Stockholm" "Apartment" "No" 1400000 -95000 -0.0635451505016722 65000 1 23 9600 "2023-09-30" 17.8223277 59.3848916 30
"Klippgatan 12C, Vån 6 av 8!" "klippgatan 12c, vån 6, 171 47 solna, sweden" "Solna" "Apartment" "Yes" 3250000 275000 0.0924369747899159 51739.1304347826 2 57.5 12620 "2023-09-30" 18.0039423 59.3561442 31
"Marknadsvägen 39" "marknadsvägen 39, 183 78 täby, sweden" "Täby" "Apartment" "Yes" 3500000 205000 0.062215477996965 40679.012345679 3 81 4800 "2023-09-30" 18.0749253 59.4463288 32
"Brännkyrkagatan 45" "brännkyrkagatan 45, 118 22 stockholm, sweden" "Stockholm" "Apartment" "Yes" 1e+07 1505000 0.177163037080636 95449.4382022472 4 89 5449 "2023-09-30" 18.0607472 59.3192129 33
"BERGAVÄGEN 70" "bergavägen 70, 184 30 åkersberga, sweden" "Österåker" "Apartment" "No" 2650000 0 0 33125 3 80 21652 "2023-09-30" 18.3040579 59.4851894 34
"Centralvägen 5" "centralvägen 5, 171 68 solna, sweden" "Solna" "Apartment" "Yes" 3695000 0 0 45060.9756097561 3 82 12758 "2023-09-30" 18.0030353 59.3584763 35
"Gustav III:s väg 13" "gustav iii:s v 13, 168 30 bromma, sweden" "Stockholm" "Apartment" "Yes" 3e+06 305000 0.11317254174397 64166.6666666667 2 42 4800 "2023-09-30" 17.9489476 59.3338456 36
"Stensnäsvägen 38" "stensnäsvägen 38, 184 63 åkersberga, sweden" "Österåker" "Apartment" "No" 7100000 750000 0.118110236220472 72988.5057471264 4 87 3900 "2023-09-30" 18.3716815 59.4536742 37
"Tollare kaj 8, 4 tr" "tollare kaj 8, 4 tr, 132 49 saltsjö-boo, sweden" "Nacka" "Apartment" "Yes" 2680000 -15000 -0.00556586270871984 65731.7073170732 2 41 3000 "2023-09-30" 18.2358058 59.300418 38
"Östergårdsvägen 14" "upplands väsby, sweden" "Upplands Väsby" "Villa" "No" 6300000 -195000 -0.0300230946882217 46726.618705036 6 139 64437 "2023-09-30" 17.92834 59.51961 39
"Björnskogsvägen 28" "björnskogsvägen 28, 134 35 gustavsberg, sweden" "Värmdö" "Apartment" "Yes" 2530000 -70000 -0.0269230769230769 31862.7450980392 3 81.6 9660 "2023-09-30" 18.3951575 59.3354497 40
"Bordsvägen 68" "bordsvägen 68, 122 46 enskede, sweden" "Stockholm" "Apartment" "Yes" 3725000 230000 0.0658082975679541 51397.0588235294 3 68 8400 "2023-09-30" 18.0782974 59.2619239 41
"Oxbrovägen 23" "oxbrovägen 23, 124 33 bandhagen, sweden" "Stockholm" "Terrace" "No" 5850000 350000 0.0636363636363637 44000 4 125 23100 "2023-09-30" 18.0422285 59.2688946 42
"Fatburstrappan 18, 12tr" "fatburstrappan 18, 118 26 stockholm, sweden" "Stockholm" "Apartment" "No" 5950000 0 0 92968.75 2 64 5400 "2023-09-30" 18.0696838 59.3149901 43
"Stallgatan 14A" "stallgatan 14a, 194 32 upplands väsby, sweden" "Upplands Väsby" "Apartment" "Yes" 1780000 -15000 -0.00835654596100277 27196.9696969697 3 66 7416 "2023-09-30" 17.9068435 59.5132981 44
"Terapivägen 18E" "terapivägen 18e, 141 56 huddinge, sweden" "Huddinge" "Apartment" "Yes" 1450000 -45000 -0.0301003344481605 40405.4054054054 2 37 3240 "2023-09-30" 17.9456451 59.221074 45
"Götalandsvägen 245" "götalandsvägen 245, 125 45 älvsjö, sweden" "Stockholm" "Apartment" "No" 3500000 5000 0.0014306151645207 44807.6923076923 4 78 12571 "2023-09-30" 18.0042164 59.2799665 46
"Kabeluddsvägen 12" "kabeluddsvägen 12, 187 67 täby, sweden" "Täby" "Apartment" "Yes" 5400000 0 0 48648.6486486486 4 111 6600 "2023-09-30" 18.0971521 59.4630602 47
"Örsvängen 7" "örsvängen 7, 174 51 sundbyberg, sweden" "Sundbyberg" "Apartment" "Yes" 2512500 17500 0.00701402805611218 36159.4202898551 2 69 4440 "2023-09-30" 17.9796153 59.3745955 48
"Trädgårdsgatan 15" "trädgårdsgatan 15, 151 45 södertälje, sweden" "Södertälje" "Apartment" "No" 1500000 -95000 -0.0595611285266457 30094.3396226415 2 53 7358 "2023-09-30" 17.6174594 59.1889773 49
"Kirunagatan 32" "kirunagatan 32, 162 68 vällingby, sweden" "Stockholm" "Apartment" "Yes" 2e+06 105000 0.0554089709762533 32672.4137931034 2 58 7898 "2023-09-30" 17.8646899 59.3653361 50
"Glanshammarsgatan 97" "glanshammarsgatan 97, 124 72 bandhagen, sweden" "Stockholm" "Apartment" "No" 2e+06 205000 0.114206128133705 30948.275862069 2 58 6900 "2023-09-30" 18.0041158 59.2625687 51
"Grönsiskevägen 3" "grönsiskevägen 3, 134 42 gustavsberg, sweden" "Värmdö" "Apartment" "No" 3e+06 50000 0.0169491525423728 43833.5809806835 2 67.3 19224 "2023-09-30" 18.4067363 59.3228508 52
"Kantarellvägen 21" "kantarellvägen 21, 122 63 enskede, sweden" "Stockholm" "Villa" "No" 1.2e+07 550000 0.0480349344978166 89453.125 6 128 62692 "2023-09-30" 18.090805 59.2768938 53
"Rådsvägen 5a" "rådsvägen 5a, 141 48 huddinge, sweden" "Huddinge" "Apartment" "Yes" 2100000 105000 0.0526315789473684 31717.0111287758 2 62.9 3680 "2023-09-30" 17.9918946 59.2421321 54
"Hallstens väg 32" "hallstens väg 32, 136 49 haninge, sweden" "Haninge" "Villa" "No" 5530000 35000 0.00636942675159236 67012.1951219512 6 82 46686 "2023-09-30" 18.140027 59.1876848 55
"Aprikosgatan 17B, 3tr" "aprikosgatan 17b, 3tr, 165 60 hässelby, sweden" "Stockholm" "Apartment" "Yes" 2300000 50000 0.0222222222222221 36000 2 62.5 4500 "2023-09-30" 17.8421591 59.3617785 56
"Jungmansgränd 10" "jungmansgränd 10, 117 67 stockholm, sweden" "Stockholm" "Terrace" "Yes" 12375000 5712203 0.85732808608757 61126.5779816514 5 109 10072 "2023-09-30" 18.0083989 59.3157094 57
"Terrängvägen 87" "terrängvägen 87, 129 48 hägersten, sweden" "Stockholm" "Apartment" "Yes" 4e+06 205000 0.0540184453227932 56305.6379821958 3 67.4 16996 "2023-09-30" 17.9701823 59.2930872 58
"Kaplansbacken 2" "kaplansbacken 2, 131 50 saltsjö-duvnäs, sweden" "Nacka" "Villa" "No" 15750000 8e+05 0.0535117056856187 64439.6551724138 8 232 47100 "2023-09-30" 18.2095174 59.3049453 59
"Scheelegatan 3" "scheelegatan 3, 112 23 stockholm, sweden" "Stockholm" "Apartment" "Yes" 17795000 0 0 124440.559440559 4 143 14117 "2023-09-30" 18.0432176 59.3295035 60
"Götaforsvägen 13" "götaforsvägen 13, 122 66 enskede, sweden" "Stockholm" "Apartment" "Yes" 2400000 -75000 -0.0303030303030303 45000 2 55 3800 "2023-09-30" 18.056631 59.2709426 61
"Rådmansgatan 46, 6tr" "rådmansgatan 46, 6tr, 113 57 stockholm, sweden" "Stockholm" "Apartment" "Yes" 3900000 2e+05 0.0540540540540539 112121.212121212 1 33 3600 "2023-09-30" 18.0610417 59.3411408 62
"Björnsonsgatan 138" "björnsonsgatan 138, 168 44 bromma, sweden" "Stockholm" "Apartment" "Yes" 3325000 330000 0.110183639398998 52543.8596491228 3 57 7623 "2023-09-30" 17.8795005 59.3487193 63
"Kabelverksgatan 14 3tr" "kabelverksgatan 14, 3tr, 125 45 älvsjö, sweden" "Stockholm" "Apartment" "Yes" 2975000 0 0 55092.5925925926 2 54 3600 "2023-09-30" 18.0029571 59.2822562 64
"Brännkyrkagatan 44" "brännkyrkagatan 44, 118 22 stockholm, sweden" "Stockholm" "Apartment" "No" 7125000 175000 0.025179856115108 93918.9189189189 3 74 3360 "2023-09-30" 18.0606477 59.3193879 65
"Stationsvägen 74" "stationsvägen 74, 187 49 täby, sweden" "Täby" "Apartment" "Yes" 3159600 -35400 -0.0110798122065727 61442.3076923077 2 52 6360 "2023-09-30" 18.0564594 59.4365442 66
"Aklejavägen 4" "aklejavägen 4, 192 54 sollentuna, sweden" "Sollentuna" "Villa" "No" 7e+06 5000 0.000714796283059371 49964.2857142857 6 140 27920 "2023-09-30" 17.9598736 59.4523499 67
"Rosenlundsgatan 18, 3tr" "rosenlundsgatan 18, 3tr, 118 53 stockholm, sweden" "Stockholm" "Apartment" "Yes" 5115000 420000 0.0894568690095847 104333.333333333 2 45 4500 "2023-09-30" 18.0553986 59.3170183 68
"Månskensvägen 105" "månskensvägen 105, 146 46 tullinge, sweden" "Botkyrka" "Terrace" "No" 3e+06 5000 0.001669449081803 27731.4814814815 4 108 12984 "2023-09-29" 17.9168323 59.2103508 69
"Södermannagatan 45" "södermannagatan 45, 116 40 stockholm, sweden" "Stockholm" "Apartment" "Yes" 5900000 -195000 -0.0319934372436423 89632.3529411765 2 68 6994 "2023-09-29" 18.0826081 59.3096184 70
"Sandstuguvägen 55" "sandstuguvägen 55, 147 60 uttran, sweden" "Botkyrka" "Apartment" "Yes" 1100000 -150000 -0.12 43252.5951557093 2 28.9 2416 "2023-09-29" 17.8027405 59.2022198 71
"Piruettvägen 9" "piruettvägen 9, 129 49 hägersten, sweden" "Stockholm" "Apartment" "Yes" 3745000 250000 0.0715307582260372 55476.1904761905 2 63 6111 "2023-09-29" 17.9784181 59.2947028 72
"Hästskovägen 11" "hästskovägen 11, 183 56 täby, sweden" "Täby" "Villa" "No" 11850000 -9e+05 -0.0705882352941176 54487.1794871795 9 234 64242 "2023-09-29" 18.0723068 59.4238777 73
"Hangarvägen 7" "hangarvägen 7, 146 37 tullinge, sweden" "Botkyrka" "Apartment" "Yes" 2495000 0 0 31783.4394904459 3 78.5 16036 "2023-09-29" 17.912 59.1882712 74
"SUNDBYVÄGEN 49" "sundbyvägen 49, 186 70 brottby, sweden" "Vallentuna" "Villa" "No" 4910000 415000 0.0923248053392658 29379.0849673203 6 153 33641 "2023-09-29" 18.2381828 59.5643868 75
"Stora Hundens gata 559" "stora hundens gata 559, 136 64 haninge, sweden" "Haninge" "Terrace" "No" 3100000 205000 0.0708117443868739 21766.9172932331 5 133 38367 "2023-09-29" 18.1831173 59.1709581 76
"Lagmansbacken 4, 5 tr" "lagmansbacken 4, 5 tr, 145 56 norsborg, sweden" "Botkyrka" "Apartment" "No" 1400000 0 0 37837.8378378378 2 37 1080 "2023-09-29" 17.8459888 59.2404734 77
"Saltvägen 25, 2 tr" "saltvägen 25, 2 tr, 123 55 farsta, sweden" "Stockholm" "Apartment" "Yes" 2650000 255000 0.106471816283925 42767.8571428571 2 56 4000 "2023-09-29" 18.0876061 59.253045 78
"Kanngjutargränd 30, 3tr" "kanngjutargränd 30, 3tr, 162 57 vällingby, sweden" "Stockholm" "Apartment" "Yes" 1805000 110000 0.0648967551622419 35312.5 2 48 7953 "2023-09-29" 17.8672211 59.3586138 79
"Klockarvägen 17" "klockarvägen 17, 178 53 ekerö, sweden" "Ekerö" "Villa" "No" 6200000 205000 0.0341951626355297 47960 7 125 47569 "2023-09-29" 17.7204861 59.2877908 80
"Fribordsgränd 9" "fribordsgränd 9, 136 55 haninge, sweden" "Haninge" "Apartment" "Yes" 2100000 105000 0.0526315789473684 47500 2 42 6540 "2023-09-29" 18.1371749 59.1860104 81
"Lobovägen 1" "lobovägen 1, 178 32 ekerö, sweden" "Ekerö" "Villa" "No" 6950000 -245000 -0.034051424600417 51028.3687943262 8 141 52526 "2023-09-29" 17.7918876 59.290914 82
"Grafitgränd 6" "grafitgränd 6, 168 60 bromma, sweden" "Stockholm" "Villa" "No" 8700000 -787494 -0.0830033726503543 68255.3525179856 7 139 25201 "2023-09-29" 17.9036038 59.3611337 83
"Blixtvägen 51" "blixtvägen 51, 177 70 järfälla, sweden" "Järfälla" "Villa" "No" 6100000 0 0 36969.696969697 6 165 30000 "2023-09-29" 17.8262572 59.442783 84
"Svartskogsvägen 23" "svartskogsvägen 23, 136 59 vendelsö, sweden" "Haninge" "Terrace" "No" 4215000 -180000 -0.0409556313993175 33807.6923076923 5 130 47038 "2023-09-29" 18.1895121 59.1722175 85
"Swedenborgsgatan 24, 1 tr" "swedenborgsgatan 24, 1 tr, 118 27 stockholm, sweden" "Stockholm" "Apartment" "Yes" 6200000 705000 0.128298453139218 70448.717948718 3 78 12257 "2023-09-29" 18.0648317 59.313632 86
"Bjursätragatan 109, vån 3 av 3" "bjursätragatan 109, vån 3, 124 63 bandhagen, sweden" "Stockholm" "Apartment" "Yes" 1850000 -50000 -0.0263157894736842 33333.3333333333 2 57 6200 "2023-09-29" 18.0235468 59.2535841 87
"Eskadervägen 22" "eskadervägen 22, 183 54 täby, sweden" "Täby" "Apartment" "No" 2175000 -375000 -0.147058823529412 42148.7603305785 2 60.5 6549 "2023-09-29" 18.0916683 59.4304389 88
"Pilvägen 92" "pilvägen 92, 191 42 sollentuna, sweden" "Sollentuna" "Apartment" "Yes" 3e+06 -395000 -0.116347569955817 43525.641025641 3 78 8000 "2023-09-29" 17.9659388 59.4117721 89
"Kungsholms strand 179, 3 tr" "kungsholms strand 179, 3 tr, 112 48 stockholm, sweden" "Stockholm" "Apartment" "No" 3150000 155000 0.0517529215358932 96612.9032258065 1 31 11400 "2023-09-29" 18.0232058 59.3386392 90
"Beckomberga Ängsväg 24" "beckomberga ängsväg 24, 168 63 bromma, sweden" "Stockholm" "Apartment" "No" 2900000 105000 0.0375670840787119 48189.6551724138 3 58 8300 "2023-09-29" 17.8991113 59.3574683 91
"Masugnsvägen 54" "masugnsvägen 54, 168 77 bromma, sweden" "Stockholm" "Apartment" "Yes" 4695000 0 0 64315.0684931507 3 73 18823 "2023-09-29" 17.961932 59.3564177 92
"Torsgatan 27" "torsgatan 27, 113 21 stockholm, sweden" "Stockholm" "Apartment" "No" 5275000 -225000 -0.0409090909090909 91666.6666666667 2 60 3960 "2023-09-29" 18.039857 59.3383075 93
"Kristinebergsvägen 24" "kristinebergsvägen 24, 112 44 stockholm, sweden" "Stockholm" "Apartment" "Yes" 5050000 55000 0.0110110110110111 81885.2459016393 2 61 5000 "2023-09-29" 18.0142326 59.3336266 94
"Johannesgatan 4A, 2 tr" "johannesgatan 4a, 2 tr, 111 38 stockholm, sweden" "Stockholm" "Apartment" "Yes" 9150000 155000 0.0172317954419121 116818.181818182 4 77 6600 "2023-09-29" 18.0665838 59.3375554 95
"Oktobergatan 8, 2 tr" "oktobergatan 8, 2 tr, 126 37 hägersten, sweden" "Stockholm" "Apartment" "Yes" 3100000 105000 0.0350584307178632 73048.7804878049 2 41 11266 "2023-09-29" 18.0052124 59.3023009 96
"Oxelvägen 43, 1 tr" "oxelvägen 43, 1 tr, 138 32 älta, sweden" "Nacka" "Apartment" "Yes" 3175000 180000 0.0601001669449082 26043.4782608696 5 115 9100 "2023-09-29" 18.1742266 59.257026 97
"Hättkvarnsgatan 5, entréplan" "hättkvarnsgatan 5, 177 41 järfälla, sweden" "Järfälla" "Apartment" "No" 1350000 0 0 40909.0909090909 1 33 2480 "2023-09-29" 17.8306978 59.4169041 98
"Fridhemsgatan 8" "fridhemsgatan 8, 112 40 stockholm, sweden" "Stockholm" "Apartment" "Yes" 10650000 -1250000 -0.105042016806723 93700.7874015748 3 127 11685 "2023-09-29" 18.0272813 59.3303348 99
"Solnavägen 108" "solnavägen 108, 169 51 solna, sweden" "Solna" "Apartment" "Yes" 5995000 0 0 77857.1428571429 3 77 5760 "2023-09-29" 17.9955863 59.3644178 100
"Horisontvägen 81, 2tr" "horisontvägen 81, 2tr, 128 34 skarpnäck, sweden" "Stockholm" "Apartment" "Yes" 2210000 160000 0.0780487804878049 31060.6060606061 2 66 4500 "2023-09-29" 18.1312401 59.264875 101
"Granitvägen 28A" "granitvägen 28a, 135 46 tyresö, sweden" "Tyresö" "Apartment" "No" 1370000 75000 0.057915057915058 47962.962962963 1 27 -176 "2023-09-29" 18.2202775 59.241934 102
"Östervägen 9A" "östervägen 9a, 169 52 solna, sweden" "Solna" "Apartment" "No" 2530000 235000 0.10239651416122 58846.1538461538 2 39 9740 "2023-09-29" 18.0011292 59.3631935 103
"Silverdalsvägen 25" "silverdalsvägen 25, 191 38 sollentuna, sweden" "Sollentuna" "Apartment" "Yes" 5460000 -290000 -0.0504347826086956 61497.3262032086 4 93.5 19440 "2023-09-29" 17.9804021 59.4036541 104
"Mörbydalen 25, Våning 6" "mörbydalen 25, våning 6, 182 52 danderyd, sweden" "Danderyd" "Apartment" "Yes" 3200000 -95000 -0.0288315629742033 57204.8611111111 2 57.6 5100 "2023-09-29" 18.047107 59.3950734 105
"Fabrikörvägen 6" "fabrikörvägen 6, 131 52 nacka strand, sweden" "Nacka" "Apartment" "No" 2750000 -245000 -0.0818030050083473 68068.1818181818 2 44 6840 "2023-09-29" 18.1574502 59.3166514 106
"Storgatan 56" "storgatan 56, 171 52 solna, sweden" "Solna" "Apartment" "Yes" 2775000 76000 0.0281585772508337 42040.4984423676 2 64.2 7034 "2023-09-29" 17.9876065 59.3502979 107
"Lilldalsvägen 13" "lilldalsvägen 13, 144 61 rönninge, sweden" "Salem" "Villa" "No" 5300000 -195000 -0.0354868061874432 48201.7543859649 6 114 72400 "2023-09-29" 17.7434229 59.1983067 108
"Babordsgatan 5, 2 tr" "babordsgatan 5, 2 tr, 120 64 stockholm, sweden" "Stockholm" "Apartment" "Yes" 6300000 -495000 -0.0728476821192053 79941.1764705882 3 85 9000 "2023-09-29" 18.0991353 59.3040523 109
"Katarina Bangata 61" "katarina bangata 61, 116 42 stockholm, sweden" "Stockholm" "Apartment" "No" 3300000 225000 0.0731707317073171 93181.8181818182 1 33 972 "2023-09-29" 18.0876234 59.3093135 110
"Ormingeringen 49 E" "ormingeringen 49e, 132 33 saltsjö-boo, sweden" "Nacka" "Apartment" "Yes" 1800000 50000 0.0285714285714285 38888.8888888889 2 45 7776 "2023-09-29" 18.2509592 59.3303676 111
"Formarstigen 12" "formarstigen 12, 134 31 gustavsberg, sweden" "Värmdö" "Apartment" "No" 3750000 850000 0.293103448275862 51785.7142857143 2 56 8000 "2023-09-29" 18.3827123 59.3283005 112
"Assessorsgatan 6" "assessorsgatan 6, 118 57 stockholm, sweden" "Stockholm" "Apartment" "No" 4265000 15000 0.00352941176470578 80188.679245283 2 53 4680 "2023-09-29" 18.0684188 59.3100421 113
"Sågstuvägen 29" "sågstuvägen 29, 141 49 huddinge, sweden" "Huddinge" "Apartment" "Yes" 1670000 75000 0.0470219435736676 26147.5409836066 2 61 3600 "2023-09-29" 17.963998 59.2192293 114
"Hammarby Allé 119, 3 tr" "hammarby allé 119, 3 tr, 120 64 stockholm, sweden" "Stockholm" "Apartment" "Yes" 4825000 -125000 -0.0252525252525253 64285.7142857143 3 77 15394 "2023-09-29" 18.0991381 59.3035758 115
"Ellen Keys Gata 24" "ellen keys gata 24, 129 52 hägersten, sweden" "Stockholm" "Apartment" "Yes" 1895000 0 0 57424.2424242424 1 33 2040 "2023-09-29" 17.9655445 59.2872185 116
"Albert Målares väg 19F" "albert målares väg 19f, 187 75 täby, sweden" "Täby" "Terrace" "No" 4450000 0 0 49444.4444444444 4 90 41807 "2023-09-29" 18.0617127 59.4922747 117
"Vickervägen 14, 4 tr PRISSÄNKT " "vickervägen 14, 4 tr, 145 69 norsborg, sweden" "Botkyrka" "Apartment" "Yes" 1400000 -1e+05 -0.0666666666666667 25641.0256410256 2 58.5 13963 "2023-09-29" 17.8212846 59.2471814 118
"Fredrika bremers gata 19" "fredrika bremers gata 19, 129 50 hägersten, sweden" "Stockholm" "Apartment" "No" 3800000 105000 0.0284167794316643 33899.0825688073 4 109 8160 "2023-09-29" 17.9738429 59.2871276 119
"Ljusstöparbacken 1, 3.5tr" "ljusstöparbacken 1, 3.5tr, 117 65 stockholm, sweden" "Stockholm" "Apartment" "Yes" 5700000 205000 0.0373066424021837 65029.5857988166 4 84.5 17899 "2023-09-29" 18.0118921 59.3141021 120
"Snöfjällsgränd 19" "snöfjällsgränd 19, 164 55 kista, sweden" "Stockholm" "Terrace" "Yes" 4400000 -350000 -0.0736842105263158 39915.9663865546 5 119 28376 "2023-09-29" 17.9380435 59.4136022 121
"Arkitektvägen 85, 3tr" "arkitektvägen 85, 3tr, 168 32 bromma, sweden" "Stockholm" "Apartment" "Yes" 6e+06 -450000 -0.0697674418604651 72471.9101123595 4 89 6960 "2023-09-29" 17.9493676 59.3325133 122
"Beckomberga ängsväg 49" "beckomberga ängsväg 49, 168 63 bromma, sweden" "Stockholm" "Apartment" "No" 4150000 3e+05 0.0779220779220779 53472.2222222222 3 72 6900 "2023-09-29" 17.8976097 59.3575557 123
"Hamnvägen 4" "hamnvägen 4, 181 66 lidingö, sweden" "Lidingö" "Apartment" "Yes" 16250000 -1750000 -0.0972222222222222 98901.0989010989 5 182 24000 "2023-09-29" 18.2321136 59.3572863 124
